We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 1146]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 1160]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 1188]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 1202]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 1230]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 1244]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 1272]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 1286]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 1314]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 1328]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 1356]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 1370]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 1398]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 1412]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 1440]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 1454]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 1482]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 1496]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 1524]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 1538]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 1566]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 1580]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 1608]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 1622]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 1650]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 1664]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 1692]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 1706]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 1734]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 1748]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 1776]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 1790]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 1818]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 1832]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 1860]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 1874]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 1902]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 1916]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 1944]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 1958]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 1986]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 2000]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 2028]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 2042]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 2070]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 2084]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 2112]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 2126]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 2154]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 2168]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 2196]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 2210]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 2238]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 2252]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 2280]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 2294]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 2322]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 2336]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 2364]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 2378]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 2406]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 2420]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 2448]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 2462]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 2490]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 2504]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 2532]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 2546]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 2574]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 2588]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 2616]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 2630]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 2658]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 2672]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 2700]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 2714]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 2742]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 2756]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 2784]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 2798]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 2826]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 2840]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 2868]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 2882]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 2910]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 2924]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 2952]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 2966]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 2994]
